fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,velmedia,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,dir,racha,horaracha
2026-03-09,3129,MADRID AEROPUERTO,MADRID,609,"8,5","7,9","3,9",03:33,"13,1",13:46,"0,8","0,4","953,7",00,"948,3",18,85,98,Varias,63,14:55,23,"14,4",15:13
2026-03-10,3129,MADRID AEROPUERTO,MADRID,609,"8,4","0,8","4,2",01:12,"12,6",16:11,"1,9","1,1","954,9",Varias,"949,2",00,82,97,07:00,62,15:44,34,"6,7",17:15
2026-03-11,3129,MADRID AEROPUERTO,MADRID,609,"10,4",Ip,"3,7",06:43,"17,0",17:10,"1,1","7,3","959,0",Varias,"954,8",00,76,99,Varias,49,16:50,24,"6,1",12:09
2026-03-12,3129,MADRID AEROPUERTO,MADRID,609,"10,5","0,0","2,7",06:30,"18,3",14:36,"2,5","10,7","959,3",Varias,"955,1",17,66,97,06:56,44,14:43,19,"9,2",18:04
2026-03-13,3129,MADRID AEROPUERTO,MADRID,609,"11,2","0,0","3,2",06:02,"19,1",15:40,"4,2","9,4","955,3",00,"945,8",24,67,97,Varias,39,19:02,19,"13,9",16:00
2026-03-14,3129,MADRID AEROPUERTO,MADRID,609,"11,0","0,0","8,5",23:41,"13,5",12:13,"7,2","1,2","945,9",00,"940,2",18,56,74,22:16,50,12:07,99,"14,4",Varias
2026-03-15,3129,MADRID AEROPUERTO,MADRID,609,"10,6","0,0","6,2",05:12,"15,1",14:46,"5,6","10,9","953,1",Varias,"943,9",01,50,70,05:15,36,14:27,36,"15,3",08:58
2026-03-16,3129,MADRID AEROPUERTO,MADRID,609,"10,7","0,0","0,9",06:54,"20,5",15:45,"1,4","10,8","955,0",Varias,"951,8",18,57,96,07:23,28,17:09,99,"5,8",Varias
2026-03-17,3129,MADRID AEROPUERTO,MADRID,609,"12,4","0,0","2,1",06:21,"22,8",16:34,"0,8","11,0","952,1",00,"943,0",19,53,96,06:40,19,16:01,99,"5,0",Varias
2026-03-18,3129,MADRID AEROPUERTO,MADRID,609,"11,0","0,0","2,9",05:54,"19,0",14:05,"1,9","4,7","943,1",00,"939,5",16,50,86,06:56,24,13:22,19,"7,8",Varias
2026-03-19,3129,MADRID AEROPUERTO,MADRID,609,"11,4","0,0","3,4",04:45,"19,3",15:01,"3,3","10,0","946,5",Varias,"942,1",00,59,87,06:38,35,14:46,99,"8,9",Varias
2026-03-20,3129,MADRID AEROPUERTO,MADRID,609,"9,3","5,5","6,8",06:02,"11,8",11:47,"2,2","0,0","946,8",Varias,"944,1",16,80,96,23:05,59,11:55,14,"9,2",04:51
2026-03-21,3129,MADRID AEROPUERTO,MADRID,609,"9,0","0,1","5,3",23:49,"12,7",16:27,"0,8","0,0","945,7",00,"943,5",16,82,97,03:27,63,16:09,01,"4,2",13:58
2026-03-22,3129,MADRID AEROPUERTO,MADRID,609,"10,2","0,0","1,3",06:22,"19,0",15:24,"2,2","10,1","945,3",Varias,"942,0",16,66,99,Varias,38,15:57,22,"7,8",18:03
2026-03-23,3129,MADRID AEROPUERTO,MADRID,609,"10,9","0,0","4,0",06:46,"17,8",15:42,"2,2","11,0","953,1",Varias,"945,2",00,48,85,07:01,23,11:48,08,"9,2",11:49
2026-03-24,3129,MADRID AEROPUERTO,MADRID,609,"10,6","0,0","2,1",06:19,"19,0",15:13,"1,7","10,9","955,8",Varias,"952,6",17,55,93,06:38,31,Varias,22,"6,7",13:28
2026-03-25,3129,MADRID AEROPUERTO,MADRID,609,"12,8","0,0","3,0",06:04,"22,6",16:20,"1,1","11,0","954,9",00,"948,3",17,55,94,06:00,26,16:34,06,"11,4",22:52
2026-03-26,3129,MADRID AEROPUERTO,MADRID,609,"11,0","0,0","4,2",06:22,"17,7",15:01,"2,5","9,6","952,5",Varias,"948,0",16,47,66,06:42,28,16:13,07,"10,3",02:07
2026-03-27,3129,MADRID AEROPUERTO,MADRID,609,"10,3","0,0","1,6",06:10,"19,0",15:05,"4,2","11,3","951,9",Varias,"947,6",16,46,76,06:56,26,14:55,06,"12,8",15:55
2026-03-28,3129,MADRID AEROPUERTO,MADRID,609,"9,4","0,0","2,1",06:08,"16,8",13:30,"5,3","8,0","959,2",Varias,"951,5",04,52,82,06:25,35,11:19,35,"13,3",17:02
2026-03-29,3129,MADRID AEROPUERTO,MADRID,609,"8,9","0,0","3,3",03:11,"14,5",14:45,"6,9","11,3","961,8",Varias,"956,3",15,39,58,06:33,22,14:46,01,"16,4",12:29
2026-03-30,3129,MADRID AEROPUERTO,MADRID,609,"10,2","0,0","0,0",05:02,"20,5",14:48,"3,3","11,0","961,6",Varias,"957,3",16,51,76,06:48,32,12:33,35,"15,3",19:36
2026-03-31,3129,MADRID AEROPUERTO,MADRID,609,"14,4","0,0","8,4",23:56,"20,5",13:30,"7,2","11,6","958,4",00,"954,8",15,46,65,02:29,31,15:01,99,"15,0",Varias
2026-04-01,3129,MADRID AEROPUERTO,MADRID,609,"13,4","0,0","6,5",03:46,"20,3",14:41,"6,4","11,7","956,5",00,"952,2",15,45,68,Varias,31,Varias,99,"12,5",Varias
2026-04-02,3129,MADRID AEROPUERTO,MADRID,609,"12,6","0,0","6,6",02:49,"18,5",14:45,"5,8","8,2","954,3",Varias,"950,7",14,42,60,23:58,30,17:14,36,"13,3",15:08
2026-04-03,3129,MADRID AEROPUERTO,MADRID,609,"12,2","0,0","2,0",06:11,"22,3",16:05,"3,1","10,9","956,8",Varias,"953,3",15,46,87,06:27,22,13:48,99,"9,7",Varias
2026-04-04,3129,MADRID AEROPUERTO,MADRID,609,"14,8","0,0","5,5",06:05,"24,0",15:27,"2,2","11,9","957,5",Varias,"953,6",16,50,86,06:37,29,16:49,21,"9,2",14:51
2026-04-05,3129,MADRID AEROPUERTO,MADRID,609,"16,6","0,0","6,6",05:54,"26,5",15:39,"2,2","12,0","956,7",Varias,"953,5",18,47,88,06:53,21,15:37,21,"8,9",14:19
2026-04-06,3129,MADRID AEROPUERTO,MADRID,609,"16,4","0,0","7,1",05:53,"25,7",14:16,"3,6","11,5","955,9",Varias,"949,8",18,41,80,06:36,21,14:34,18,"11,4",13:03
